date,region,product,units_sold,unit_price,revenue
2023-01-27,East,Beta,18,35,620.1
2023-01-27,East,Gamma,17,50,855.79
2023-01-27,West,Alpha,20,20,407.21
2023-01-27,West,Beta,31,35,1168.06
2023-01-27,West,Gamma,8,50,413.16
2023-01-28,North,Alpha,3,20,61.54
2023-01-28,North,Beta,24,35,810.85
2023-01-28,North,Gamma,13,50,624.7
2023-01-28,South,Alpha,19,20,396.67
2023-01-28,South,Beta,23,35,768.95
2023-01-28,South,Gamma,7,50,356.26
2023-01-28,East,Alpha,17,20,362.8
2023-01-28,East,Beta,28,35,1068.35
2023-01-28,East,Gamma,12,50,634.4
2023-01-28,West,Alpha,30,20,622.12
2023-01-28,West,Beta,9,35,304.75
2023-01-28,West,Gamma,16,50,788.33
2023-01-29,North,Alpha,29,20,598.23
2023-01-29,North,Beta,10,35,373.96
2023-01-29,North,Gamma,11,50,533.99
2023-01-29,South,Alpha,27,20,538.07
2023-01-29,South,Beta,17,35,581.47
2023-01-29,South,Gamma,17,50,836.78
2023-01-29,East,Alpha,2,20,41.53
2023-01-29,East,Beta,20,35,681.6
2023-01-29,East,Gamma,28,50,1429.14
2023-01-29,West,Alpha,12,20,255.2
2023-01-29,West,Beta,15,35,553.5
2023-01-29,West,Gamma,21,50,1017.51
2023-01-30,North,Alpha,23,20,473.28
2023-01-30,North,Beta,31,35,1104.28
2023-01-30,North,Gamma,19,50,937.69
2023-01-30,South,Alpha,14,20,307.6
2023-01-30,South,Beta,12,35,420.06
2023-01-30,South,Gamma,18,50,971.26
2023-01-30,East,Alpha,17,20,334.3
2023-01-30,East,Beta,19,35,707.62
2023-01-30,East,Gamma,23,50,1108.76
2023-01-30,West,Alpha,1,20,21.97
2023-01-30,West,Beta,14,35,506.84
2023-01-30,West,Gamma,38,50,1972.86
2023-01-31,North,Alpha,21,20,460.11
2023-01-31,North,Beta,22,35,767.46
2023-01-31,North,Gamma,22,50,1165.5
2023-01-31,South,Alpha,10,20,212.03
2023-01-31,South,Beta,3,35,108.44
2023-01-31,South,Gamma,13,50,702.21
2023-01-31,East,Alpha,26,20,521.89
2023-01-31,East,Beta,16,35,592.88
2023-01-31,East,Gamma,30,50,1430.33
2023-01-31,West,Alpha,20,20,431.05
2023-01-31,West,Beta,21,35,764.67
2023-01-31,West,Gamma,28,50,1377.32
2023-02-01,North,Alpha,12,20,243.08
2023-02-01,North,Beta,20,35,754.99
2023-02-01,North,Gamma,14,50,674.09
2023-02-01,South,Alpha,27,20,536.86
2023-02-01,South,Beta,15,35,525.99
2023-02-01,South,Gamma,31,50,1636.78
2023-02-01,East,Alpha,18,20,382.15
2023-02-01,East,Beta,26,35,938.39
2023-02-01,East,Gamma,22,50,1173.22
2023-02-01,West,Alpha,9,20,179.16
2023-02-01,West,Beta,11,35,371.79
2023-02-01,West,Gamma,7,50,340.09
2023-02-02,North,Alpha,20,20,427.18
2023-02-02,North,Beta,20,35,769.73
2023-02-02,North,Gamma,31,50,1680.2
2023-02-02,South,Alpha,20,20,381.45
2023-02-02,South,Beta,20,35,716.23
2023-02-02,South,Gamma,20,50,1080.3
2023-02-02,East,Alpha,21,20,438.5
2023-02-02,East,Beta,19,35,673.08
2023-02-02,East,Gamma,23,50,1193.87
2023-02-02,West,Alpha,17,20,341.59
2023-02-02,West,Beta,15,35,508.72
2023-02-02,West,Gamma,12,50,630.14
2023-02-03,North,Alpha,12,20,236.99
2023-02-03,North,Beta,26,35,975.7
2023-02-03,North,Gamma,18,50,956.47
2023-02-03,South,Alpha,5,20,108.74
2023-02-03,South,Beta,18,35,646.59
2023-02-03,South,Gamma,27,50,1393.81
2023-02-03,East,Alpha,18,20,351.73
2023-02-03,East,Beta,18,35,644.2
2023-02-03,East,Gamma,6,50,308.38
2023-02-03,West,Alpha,30,20,624.49
2023-02-03,West,Beta,32,35,1100.88
2023-02-03,West,Gamma,21,50,1112.38
2023-02-04,North,Alpha,8,20,158.73
2023-02-04,North,Beta,15,35,536.36
2023-02-04,North,Gamma,17,50,931.83
2023-02-04,South,Alpha,13,20,269.81
2023-02-04,South,Beta,28,35,972.9
2023-02-04,South,Gamma,20,50,1060.33
2023-02-04,East,Alpha,27,20,530.53
2023-02-04,East,Beta,17,35,582.77
2023-02-04,East,Gamma,20,50,954.67
2023-02-04,West,Alpha,9,20,190.86
2023-02-04,West,Beta,23,35,824.54
2023-02-04,West,Gamma,21,50,1080.23
2023-02-05,North,Alpha,21,20,455.07
2023-02-05,North,Beta,11,35,366.8
2023-02-05,North,Gamma,29,50,1466.47
2023-02-05,South,Alpha,18,20,371.47
2023-02-05,South,Beta,24,35,868.52
2023-02-05,South,Gamma,30,50,1439.44
2023-02-05,East,Alpha,22,20,463.24
2023-02-05,East,Beta,21,35,760.82
2023-02-05,East,Gamma,25,50,1260.32
2023-02-05,West,Alpha,29,20,555.21
2023-02-05,West,Beta,14,35,486.61
2023-02-05,West,Gamma,28,50,1435.37
2023-02-06,North,Alpha,15,20,323.16
2023-02-06,North,Beta,40,35,1410.86
2023-02-06,North,Gamma,15,50,729.4
2023-02-06,South,Alpha,29,20,598.78
2023-02-06,South,Beta,11,35,387.77
2023-02-06,South,Gamma,33,50,1780.03
2023-02-06,East,Alpha,30,20,620.64
2023-02-06,East,Beta,8,35,304.26
2023-02-06,East,Gamma,16,50,775.28
2023-02-06,West,Alpha,27,20,560.9
2023-02-06,West,Beta,13,35,482.33
2023-02-06,West,Gamma,25,50,1192.31
2023-02-07,North,Alpha,27,20,541.62
2023-02-07,North,Beta,16,35,572.57
2023-02-07,North,Gamma,23,50,1255.02
2023-02-07,South,Alpha,27,20,539.14
2023-02-07,South,Beta,15,35,549.53
2023-02-07,South,Gamma,22,50,1202.64
2023-02-07,East,Alpha,25,20,522.55
2023-02-07,East,Beta,21,35,758.12
2023-02-07,East,Gamma,18,50,917.24
2023-02-07,West,Alpha,28,20,552.06
2023-02-07,West,Beta,32,35,1215.08
2023-02-07,West,Gamma,15,50,810.52
2023-02-08,North,Alpha,28,20,580.37
2023-02-08,North,Beta,32,35,1214.3
2023-02-08,North,Gamma,20,50,989.04
2023-02-08,South,Alpha,26,20,523.03
2023-02-08,South,Beta,6,35,230.79
2023-02-08,South,Gamma,16,50,837.03
2023-02-08,East,Alpha,29,20,605.75
2023-02-08,East,Beta,24,35,897.31
2023-02-08,East,Gamma,16,50,873.76
2023-02-08,West,Alpha,22,20,434.57
2023-02-08,West,Beta,11,35,370.35
2023-02-08,West,Gamma,11,50,590.42
2023-02-09,North,Alpha,29,20,629.3
2023-02-09,North,Beta,24,35,843.31
2023-02-09,North,Gamma,15,50,734.89
2023-02-09,South,Alpha,14,20,279.28
2023-02-09,South,Beta,25,35,855.18
2023-02-09,South,Gamma,29,50,1573.54
2023-02-09,East,Alpha,15,20,286.75
2023-02-09,East,Beta,24,35,863.3
2023-02-09,East,Gamma,18,50,933.75
2023-02-09,West,Alpha,35,20,752.86
2023-02-09,West,Beta,20,35,710.04
2023-02-09,West,Gamma,20,50,1012.83
2023-02-10,North,Alpha,36,20,769.05
2023-02-10,North,Beta,11,35,406.92
2023-02-10,North,Gamma,7,50,358.3
2023-02-10,South,Alpha,34,20,740.47
2023-02-10,South,Beta,25,35,854.67
2023-02-10,South,Gamma,19,50,1012.37
2023-02-10,East,Alpha,8,20,162.2
2023-02-10,East,Beta,14,35,508.67
2023-02-10,East,Gamma,17,50,826.81
2023-02-10,West,Alpha,18,20,394.01
2023-02-10,West,Beta,24,35,910.66
2023-02-10,West,Gamma,11,50,571.54
2023-02-11,North,Alpha,18,20,390.73
2023-02-11,North,Beta,21,35,757.49
2023-02-11,North,Gamma,22,50,1160.05
2023-02-11,South,Alpha,17,20,353.69
2023-02-11,South,Beta,10,35,342.45
2023-02-11,South,Gamma,29,50,1581.74
2023-02-11,East,Alpha,16,20,326.1
2023-02-11,East,Beta,19,35,651.64
2023-02-11,East,Gamma,20,50,990.87
2023-02-11,West,Alpha,11,20,222.73
2023-02-11,West,Beta,29,35,1039.92
2023-02-11,West,Gamma,21,50,1067.77
2023-02-12,North,Alpha,28,20,539.73
2023-02-12,North,Beta,16,35,553.29
2023-02-12,North,Gamma,28,50,1378.5
2023-02-12,South,Alpha,21,20,443.89
2023-02-12,South,Beta,18,35,639.73
2023-02-12,South,Gamma,28,50,1402.97
2023-02-12,East,Alpha,35,20,763.74
2023-02-12,East,Beta,11,35,422.12
2023-02-12,East,Gamma,3,50,162.82
2023-02-12,West,Alpha,15,20,298.91
2023-02-12,West,Beta,21,35,730.51
2023-02-12,West,Gamma,21,50,1118.2
2023-02-13,North,Alpha,24,20,497.04
2023-02-13,North,Beta,11,35,381.58
2023-02-13,North,Gamma,18,50,926.63
2023-02-13,South,Alpha,20,20,431.84
2023-02-13,South,Beta,17,35,582.04
2023-02-13,South,Gamma,17,50,911.74
2023-02-13,East,Alpha,10,20,191.5
2023-02-13,East,Beta,22,35,763.29
2023-02-13,East,Gamma,9,50,447.54
2023-02-13,West,Alpha,30,20,603.61
2023-02-13,West,Beta,16,35,609.52
2023-02-13,West,Gamma,35,50,1780.7
2023-02-14,North,Alpha,30,20,658.01
2023-02-14,North,Beta,21,35,799.0
2023-02-14,North,Gamma,17,50,903.04
2023-02-14,South,Alpha,25,20,514.52
2023-02-14,South,Beta,13,35,465.03
2023-02-14,South,Gamma,20,50,974.16
2023-02-14,East,Alpha,12,20,236.43
2023-02-14,East,Beta,25,35,892.5
2023-02-14,East,Gamma,10,50,543.74
2023-02-14,West,Alpha,18,20,365.37
2023-02-14,West,Beta,20,35,766.78
2023-02-14,West,Gamma,19,50,987.65
2023-02-15,North,Alpha,26,20,547.68
2023-02-15,North,Beta,17,35,597.82
2023-02-15,North,Gamma,22,50,1112.48
2023-02-15,South,Alpha,20,20,392.03
2023-02-15,South,Beta,22,35,767.87
2023-02-15,South,Gamma,6,50,329.7
2023-02-15,East,Alpha,12,20,257.28
2023-02-15,East,Beta,7,35,250.11
2023-02-15,East,Gamma,13,50,671.07
2023-02-15,West,Alpha,15,20,286.71
2023-02-15,West,Beta,33,35,1231.74
2023-02-15,West,Gamma,12,50,642.58
2023-02-16,North,Alpha,11,20,232.14
2023-02-16,North,Beta,25,35,851.2
2023-02-16,North,Gamma,11,50,582.96
2023-02-16,South,Alpha,17,20,332.06
2023-02-16,South,Beta,12,35,410.09
2023-02-16,South,Gamma,16,50,863.33
2023-02-16,East,Alpha,3,20,59.73
2023-02-16,East,Beta,27,35,968.19
2023-02-16,East,Gamma,18,50,855.74
2023-02-16,West,Alpha,20,20,432.07
2023-02-16,West,Beta,19,35,692.2
2023-02-16,West,Gamma,16,50,760.37
2023-02-17,North,Alpha,12,20,231.98
2023-02-17,North,Beta,13,35,476.25
2023-02-17,North,Gamma,33,50,1676.01
2023-02-17,South,Alpha,15,20,317.43
2023-02-17,South,Beta,30,35,1085.26
2023-02-17,South,Gamma,26,50,1274.01
2023-02-17,East,Alpha,14,20,266.83
2023-02-17,East,Beta,12,35,448.35
2023-02-17,East,Gamma,29,50,1396.73
2023-02-17,West,Alpha,12,20,240.15
2023-02-17,West,Beta,27,35,1012.72
2023-02-17,West,Gamma,21,50,1010.99
2023-02-18,North,Alpha,14,20,270.76
2023-02-18,North,Beta,18,35,683.4
2023-02-18,North,Gamma,14,50,731.36
2023-02-18,South,Alpha,23,20,444.04
2023-02-18,South,Beta,13,35,466.55
2023-02-18,South,Gamma,15,50,811.3
2023-02-18,East,Alpha,13,20,283.51
2023-02-18,East,Beta,22,35,758.52
2023-02-18,East,Gamma,31,50,1499.62
2023-02-18,West,Alpha,17,20,351.07
2023-02-18,West,Beta,13,35,464.07
2023-02-18,West,Gamma,1,50,54.75
2023-02-19,North,Alpha,21,20,419.75
2023-02-19,North,Beta,20,35,736.13
2023-02-19,North,Gamma,17,50,875.92
2023-02-19,South,Alpha,20,20,419.65
2023-02-19,South,Beta,16,35,596.46
2023-02-19,South,Gamma,14,50,754.59
2023-02-19,East,Alpha,11,20,215.57
2023-02-19,East,Beta,22,35,741.16
2023-02-19,East,Gamma,22,50,1084.61
2023-02-19,West,Alpha,18,20,357.89
2023-02-19,West,Beta,19,35,723.63
2023-02-19,West,Gamma,26,50,1383.1
2023-02-20,North,Alpha,24,20,472.18
2023-02-20,North,Beta,20,35,699.93
2023-02-20,North,Gamma,16,50,778.79
2023-02-20,South,Alpha,23,20,449.63
2023-02-20,South,Beta,34,35,1136.7
2023-02-20,South,Gamma,11,50,562.74
2023-02-20,East,Alpha,19,20,376.32
2023-02-20,East,Beta,26,35,997.82
2023-02-20,East,Gamma,26,50,1247.27
2023-02-20,West,Alpha,10,20,206.4
2023-02-20,West,Beta,12,35,423.16
2023-02-20,West,Gamma,17,50,846.2
2023-02-21,North,Alpha,15,20,296.17
2023-02-21,North,Beta,25,35,862.61
2023-02-21,North,Gamma,25,50,1278.81
2023-02-21,South,Alpha,8,20,166.47
2023-02-21,South,Beta,18,35,645.94
2023-02-21,South,Gamma,15,50,802.84
2023-02-21,East,Alpha,21,20,435.93
2023-02-21,East,Beta,15,35,512.19
2023-02-21,East,Gamma,16,50,765.62
2023-02-21,West,Alpha,13,20,263.79
2023-02-21,West,Beta,33,35,1248.76
2023-02-21,West,Gamma,22,50,1063.46
2023-02-22,North,Alpha,23,20,468.17
2023-02-22,North,Beta,13,35,497.08
2023-02-22,North,Gamma,8,50,429.27
2023-02-22,South,Alpha,25,20,498.63
2023-02-22,South,Beta,17,35,625.49
2023-02-22,South,Gamma,27,50,1471.51
2023-02-22,East,Alpha,21,20,402.89
2023-02-22,East,Beta,24,35,837.47
2023-02-22,East,Gamma,24,50,1193.38
2023-02-22,West,Alpha,18,20,366.54
2023-02-22,West,Beta,5,35,173.42
2023-02-22,West,Gamma,18,50,988.49
2023-02-23,North,Alpha,21,20,414.04
2023-02-23,North,Beta,13,35,480.69
